S_junc_w,S_perc,V_active_size,comp_size,t,Fmax_0.10,Fmax_0.20,Fmax_0.30,comp_frac
4.572991511316741,0.9760479041916168,167,163,500,1.0,0.125,0.125,0.9760479041916168
5.216316223076952,0.9880239520958084,167,165,556,1.0,0.125,0.125,0.9880239520958084
5.179153786951408,0.9819277108433735,166,163,612,1.0,0.875,0.125,0.9819277108433735
5.704252268095181,0.9935483870967742,155,154,668,1.0,0.75,0.125,0.9935483870967742
4.744082189576666,0.9693251533742331,163,158,724,1.0,0.75,0.125,0.9693251533742331
5.190519458628395,0.9776536312849162,179,175,780,1.0,0.625,0.125,0.9776536312849162
4.561710021154959,0.9590643274853801,171,164,836,1.0,0.375,0.125,0.9590643274853801
5.078650409655191,0.9766081871345029,171,167,892,1.0,0.375,0.125,0.9766081871345029
4.547174025698952,0.9542857142857143,175,167,948,1.0,0.125,0.125,0.9542857142857143
5.258307642825946,0.9696969696969697,165,160,1004,1.0,0.25,0.125,0.9696969696969697
4.882157806502059,0.9748427672955975,159,155,1060,1.0,0.375,0.125,0.9748427672955975
5.154859445945833,0.9642857142857143,168,162,1116,1.0,0.75,0.125,0.9642857142857143
5.456218005935064,0.9814814814814815,162,159,1172,1.0,0.625,0.125,0.9814814814814815
4.93680614428159,0.9817073170731707,164,161,1228,1.0,0.375,0.125,0.9817073170731707
5.249833857689686,0.9736842105263158,152,148,1284,1.0,0.5,0.125,0.9736842105263158
4.883847189272862,0.9940119760479041,167,166,1340,1.0,0.25,0.125,0.9940119760479041
4.114628860389606,0.9739583333333334,192,187,1396,1.0,0.25,0.125,0.9739583333333334
4.038802265474414,0.94,200,188,1452,1.0,0.25,0.125,0.94
4.086500490389396,0.9623655913978495,186,179,1508,1.0,0.25,0.125,0.9623655913978495
4.991201890357552,0.9819277108433735,166,163,1564,1.0,0.375,0.125,0.9819277108433735
4.907981783847521,0.9565217391304348,161,154,1620,1.0,0.5,0.125,0.9565217391304348
5.0666480579719675,0.9815950920245399,163,160,1676,1.0,1.0,0.125,0.9815950920245399
5.042150585333181,0.9585798816568047,169,162,1732,1.0,0.25,0.125,0.9585798816568047
5.4512279818616145,0.9695121951219512,164,159,1788,1.0,0.875,0.125,0.9695121951219512
5.91778742667248,0.9808917197452229,157,154,1844,1.0,0.875,0.125,0.9808917197452229
5.116676485202667,0.9631901840490797,163,157,1900,1.0,0.5,0.125,0.9631901840490797
4.728316942903331,0.9615384615384616,182,175,1956,1.0,0.375,0.125,0.9615384615384616
4.953908869785328,1.0,169,169,2012,1.0,0.25,0.125,1.0
4.77912590499101,0.975,160,156,2068,1.0,0.25,0.125,0.975
4.6082013313857715,0.9707602339181286,171,166,2124,1.0,0.625,0.125,0.9707602339181286
4.977834661174566,0.9649122807017544,171,165,2180,1.0,0.5,0.125,0.9649122807017544
4.385491040803973,0.935672514619883,171,160,2236,1.0,0.375,0.125,0.935672514619883
5.357809057971165,0.9880239520958084,167,165,2292,1.0,0.5,0.125,0.9880239520958084
5.238840124093492,0.987012987012987,154,152,2348,1.0,0.875,0.125,0.987012987012987
4.841576337957545,0.9647058823529412,170,164,2404,1.0,0.5,0.125,0.9647058823529412
4.7197467744424815,0.9664804469273743,179,173,2460,1.0,0.5,0.125,0.9664804469273743
4.76982985362405,0.9707602339181286,171,166,2516,1.0,0.125,0.125,0.9707602339181286
5.6498725630283,0.9876543209876543,162,160,2572,1.0,0.875,0.125,0.9876543209876543
4.947128674499337,0.96875,160,155,2628,1.0,0.625,0.125,0.96875
5.002545317117278,0.9887640449438202,178,176,2684,1.0,0.25,0.125,0.9887640449438202
5.833364088800975,0.9748427672955975,159,155,2740,1.0,0.25,0.125,0.9748427672955975
4.467979170688509,0.9760479041916168,167,163,2796,1.0,0.625,0.125,0.9760479041916168
