r,frac_med,frac_q1,frac_q3
0,0.004329004329004329,0.004201680672268907,0.0045662100456621
1,0.01461038961038961,0.014390756302521008,0.014726027397260274
2,0.02738095238095238,0.025,0.0273972602739726
3,0.03948598130841121,0.036203319502074685,0.04220779220779221
4,0.054322429906542055,0.04821428571428571,0.05584415584415585
5,0.06939252336448598,0.06228991596638655,0.06991341991341991
6,0.08387850467289719,0.07689075630252101,0.08722943722943723
7,0.09918224299065422,0.09191176470588236,0.10508658008658008
8,0.11588785046728972,0.10451680672268908,0.12218614718614719
9,0.1302570093457944,0.11964285714285715,0.13971861471861471
10,0.1453271028037383,0.13508403361344537,0.1588744588744589
11,0.16238317757009346,0.15042016806722688,0.17835497835497838
12,0.17943925233644858,0.16691176470588237,0.19696969696969696
13,0.19766355140186914,0.18464730290456433,0.2161255411255411
14,0.21799065420560748,0.2059128630705394,0.23484848484848486
15,0.2372663551401869,0.22717842323651452,0.25303030303030305
16,0.25957943925233645,0.24906639004149378,0.27034632034632033
17,0.2823598130841121,0.27136929460580916,0.2906926406926407
18,0.30619158878504676,0.29564315352697096,0.3114718614718615
19,0.3320093457943925,0.32085062240663903,0.3323593073593074
20,0.35530303030303034,0.3486514522821577,0.3613317757009346
21,0.37987012987012986,0.379149377593361,0.3924065420560747
22,0.41213692946058095,0.40941558441558445,0.4292056074766355
23,0.4486514522821577,0.44296536796536795,0.4685747663551402
24,0.49035269709543566,0.4805194805194805,0.5147196261682243
25,0.5386929460580913,0.5243506493506493,0.5651869158878505
26,0.5930497925311203,0.5714285714285714,0.616822429906542
27,0.6545643153526971,0.6278138528138528,0.6741822429906542
28,0.724792531120332,0.6971861471861472,0.7373831775700935
29,0.8049065420560748,0.7811688311688311,0.808091286307054
30,0.8817757009345794,0.8803030303030303,0.9071576763485477
