t,S_perc_med,S_perc_q1,S_perc_q3,Fmax020_med,Fmax020_q1,Fmax020_q3,comp_size_med,comp_size_q1,comp_size_q3,n_seeds
500,0.9058577405857741,0.8856589147286822,0.918200408997955,0.125,0.125,0.125,449.0,433.0,457.0,5
556,0.9122448979591836,0.8981670061099797,0.9130434782608695,0.125,0.125,0.125,457.0,447.0,462.0,5
612,0.9242105263157895,0.9182879377431906,0.927710843373494,0.125,0.125,0.125,452.0,439.0,462.0,5
668,0.903420523138833,0.8517034068136272,0.9166666666666666,0.125,0.125,0.125,449.0,425.0,451.0,5
724,0.9054325955734407,0.9049586776859504,0.9079754601226994,0.125,0.125,0.125,444.0,438.0,449.0,5
780,0.9074446680080482,0.8902691511387164,0.914,0.125,0.125,0.125,432.0,430.0,451.0,5
836,0.900398406374502,0.8865096359743041,0.9077568134171907,0.125,0.125,0.125,449.0,433.0,452.0,5
892,0.9161425576519916,0.9008097165991903,0.9291497975708503,0.125,0.125,0.125,445.0,439.0,459.0,5
948,0.890020366598778,0.8788501026694046,0.898,0.125,0.125,0.125,437.0,428.0,446.0,5
1004,0.9056224899598394,0.891170431211499,0.9057377049180327,0.125,0.125,0.125,442.0,434.0,443.0,5
1060,0.8922764227642277,0.8583333333333333,0.8997912317327766,0.125,0.125,0.125,431.0,412.0,439.0,5
1116,0.8838174273858921,0.8795918367346939,0.9008438818565401,0.125,0.125,0.125,427.0,426.0,429.0,5
1172,0.9202453987730062,0.8986083499005965,0.9242105263157895,0.125,0.125,0.125,452.0,450.0,460.0,5
1228,0.883399209486166,0.8757396449704142,0.8908730158730159,0.125,0.125,0.125,447.0,447.0,449.0,5
1284,0.8866396761133604,0.8770161290322581,0.8927875243664717,0.125,0.125,0.125,438.0,435.0,458.0,5
1340,0.8995726495726496,0.8968421052631579,0.9010309278350516,0.125,0.125,0.125,426.0,421.0,437.0,5
1396,0.8830645161290323,0.8799212598425197,0.8888888888888888,0.125,0.125,0.125,435.0,432.0,438.0,5
1452,0.8839103869653768,0.8731808731808732,0.9107883817427386,0.125,0.125,0.125,434.0,429.0,439.0,5
1508,0.8963414634146342,0.8709016393442623,0.9046653144016227,0.125,0.125,0.125,441.0,436.0,446.0,5
1564,0.9013806706114399,0.8990291262135922,0.9100204498977505,0.125,0.125,0.125,445.0,437.0,457.0,5
1620,0.8881987577639752,0.8528225806451613,0.9054325955734407,0.125,0.125,0.125,429.0,423.0,445.0,5
1676,0.9230769230769231,0.919917864476386,0.9308176100628931,0.125,0.125,0.125,448.0,444.0,456.0,5
1732,0.8747390396659708,0.8708333333333333,0.8799171842650103,0.125,0.125,0.125,419.0,418.0,425.0,5
1788,0.8868686868686869,0.8599221789883269,0.917004048582996,0.125,0.125,0.125,442.0,439.0,449.0,5
1844,0.9016736401673641,0.8867924528301887,0.9149797570850202,0.125,0.125,0.125,431.0,423.0,450.0,5
1900,0.9012345679012346,0.8851774530271399,0.9030927835051547,0.125,0.125,0.125,438.0,424.0,438.0,5
1956,0.8663883089770354,0.8411016949152542,0.905587668593449,0.125,0.125,0.125,415.0,404.0,455.0,5
2012,0.889795918367347,0.8851485148514852,0.8944223107569721,0.125,0.125,0.125,436.0,433.0,447.0,5
2068,0.8904665314401623,0.8794178794178794,0.920892494929006,0.125,0.125,0.125,439.0,432.0,452.0,5
2124,0.9232323232323232,0.8981288981288982,0.9482071713147411,0.125,0.125,0.125,457.0,438.0,465.0,5
2180,0.8933333333333333,0.8893360160965795,0.9023861171366594,0.125,0.125,0.125,442.0,416.0,447.0,5
2236,0.8991935483870968,0.8888888888888888,0.9205298013245033,0.125,0.125,0.125,441.0,424.0,446.0,5
2292,0.8870967741935484,0.8734939759036144,0.8983050847457628,0.125,0.125,0.125,435.0,424.0,440.0,5
2348,0.8905579399141631,0.8574338085539714,0.8916827852998066,0.125,0.125,0.125,426.0,421.0,450.0,5
2404,0.9021956087824351,0.8421052631578947,0.9064327485380117,0.125,0.125,0.125,422.0,416.0,452.0,5
2460,0.8908730158730159,0.8903225806451613,0.9079754601226994,0.125,0.125,0.125,444.0,431.0,449.0,5
2516,0.8888888888888888,0.8786008230452675,0.9204081632653062,0.125,0.125,0.125,448.0,427.0,451.0,5
2572,0.8973305954825462,0.874274661508704,0.9298245614035088,0.125,0.125,0.125,452.0,437.0,459.0,5
2628,0.9149797570850202,0.9076305220883534,0.9205702647657841,0.125,0.125,0.125,452.0,452.0,452.0,5
2684,0.8861283643892339,0.869198312236287,0.8989473684210526,0.125,0.125,0.125,427.0,412.0,428.0,5
2740,0.9130434782608695,0.8923395445134575,0.9176706827309237,0.125,0.125,0.125,441.0,431.0,457.0,5
2796,0.9106029106029107,0.8902195608782435,0.9136546184738956,0.125,0.125,0.125,444.0,438.0,446.0,5
2852,0.9063136456211812,0.901010101010101,0.919831223628692,0.125,0.125,0.125,445.0,438.0,446.0,5
2908,0.9011857707509882,0.9001996007984032,0.9171974522292994,0.125,0.125,0.125,451.0,432.0,456.0,5
2964,0.8957915831663327,0.8949579831932774,0.9136842105263158,0.125,0.125,0.125,436.0,434.0,447.0,5
3020,0.893305439330544,0.8902439024390244,0.8964803312629399,0.125,0.125,0.125,433.0,427.0,438.0,5
3076,0.8858800773694391,0.8598326359832636,0.8985801217038539,0.125,0.125,0.125,443.0,418.0,446.0,5
3132,0.8949494949494949,0.8849206349206349,0.9096385542168675,0.125,0.125,0.125,446.0,443.0,453.0,5
3188,0.8669438669438669,0.8477366255144033,0.9085487077534792,0.125,0.125,0.125,417.0,416.0,455.0,5
3244,0.9015444015444015,0.8923395445134575,0.9027237354085603,0.125,0.125,0.125,464.0,431.0,464.0,5
3300,0.8811475409836066,0.8676171079429735,0.8893280632411067,0.125,0.125,0.125,430.0,426.0,450.0,5
3356,0.895397489539749,0.8930817610062893,0.9256198347107438,0.125,0.125,0.125,428.0,426.0,448.0,5
3412,0.9028925619834711,0.8830897703549061,0.9193899782135077,0.125,0.125,0.125,423.0,422.0,437.0,5
3468,0.9096509240246407,0.8874458874458875,0.9272727272727272,0.125,0.125,0.125,442.0,410.0,443.0,5
3524,0.896969696969697,0.8857142857142857,0.9090909090909091,0.125,0.125,0.125,444.0,434.0,467.0,5
3580,0.9030927835051547,0.8873239436619719,0.9232323232323232,0.125,0.125,0.125,441.0,438.0,457.0,5
3636,0.8959183673469387,0.8957055214723927,0.9124236252545825,0.125,0.125,0.125,439.0,438.0,448.0,5
3692,0.8877755511022044,0.8830897703549061,0.893223819301848,0.125,0.125,0.125,435.0,423.0,441.0,5
3748,0.9014373716632443,0.8675889328063241,0.9043659043659044,0.125,0.125,0.125,439.0,435.0,439.0,5
3804,0.9058577405857741,0.8991596638655462,0.907070707070707,0.125,0.125,0.125,439.0,433.0,447.0,5
3860,0.9075268817204301,0.8848484848484849,0.9134020618556701,0.125,0.125,0.125,436.0,422.0,438.0,5
3916,0.91,0.8597194388777555,0.9210526315789473,0.125,0.125,0.125,429.0,420.0,434.0,5
3972,0.9004065040650406,0.8874734607218684,0.9198396793587175,0.125,0.125,0.125,441.0,440.0,443.0,5
4028,0.8785425101214575,0.8431771894093686,0.8823529411764706,0.125,0.125,0.125,434.0,414.0,435.0,5
4084,0.9102040816326531,0.8709677419354839,0.9281437125748503,0.125,0.125,0.125,446.0,432.0,465.0,5
4140,0.896551724137931,0.8849372384937239,0.914,0.125,0.125,0.125,442.0,431.0,457.0,5
4196,0.903921568627451,0.8958742632612967,0.9151515151515152,0.125,0.125,0.125,453.0,429.0,456.0,5
4252,0.8848484848484849,0.8777292576419214,0.9022869022869023,0.125,0.125,0.125,434.0,411.0,438.0,5
4308,0.8463114754098361,0.8369781312127237,0.9032921810699589,0.125,0.125,0.125,421.0,413.0,424.0,5
4364,0.8831168831168831,0.8816568047337278,0.9112426035502958,0.125,0.125,0.125,447.0,414.0,452.0,5
4420,0.8922764227642277,0.8830897703549061,0.9343936381709742,0.125,0.125,0.125,439.0,436.0,457.0,5
4476,0.8906560636182903,0.8861283643892339,0.9175050301810865,0.125,0.125,0.125,448.0,428.0,453.0,5
4532,0.890020366598778,0.8898305084745762,0.920892494929006,0.125,0.125,0.125,437.0,423.0,450.0,5
4588,0.8936605316973415,0.874251497005988,0.8940677966101694,0.125,0.125,0.125,437.0,425.0,438.0,5
4644,0.8989690721649485,0.8802395209580839,0.9064449064449065,0.125,0.125,0.125,436.0,436.0,441.0,5
4700,0.869120654396728,0.8594059405940594,0.8764940239043825,0.125,0.125,0.125,434.0,425.0,440.0,5
4756,0.888,0.8747514910536779,0.9092702169625246,0.125,0.125,0.125,444.0,440.0,461.0,5
4812,0.9009708737864077,0.8589743589743589,0.9036144578313253,0.125,0.125,0.125,444.0,418.0,450.0,5
4868,0.8936605316973415,0.8895582329317269,0.8991596638655462,0.125,0.125,0.125,437.0,430.0,443.0,5
4924,0.8627049180327869,0.8574338085539714,0.908315565031983,0.125,0.125,0.125,421.0,421.0,426.0,5
4980,0.8962075848303394,0.8861788617886179,0.9029535864978903,0.125,0.125,0.125,436.0,428.0,449.0,5
